dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,data_type
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.36,0.3333,0.71,0.2537,70,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.36,0.3333,0.66,0.2985,93,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.36,0.3485,0.66,0.1343,75,hour
2011-01-02,1,0,1,0,0,0,Light Rain / Snow,0.36,0.3485,0.76,0.194,59,hour
2011-01-02,1,0,1,0,0,0,Light Rain / Snow,0.34,0.3333,0.81,0.1642,74,hour
2011-01-02,1,0,1,0,0,0,Light Rain / Snow,0.34,0.3333,0.71,0.1642,76,hour
2011-01-02,1,0,1,0,0,0,Clear / Partly Cloudy,0.34,0.3333,0.57,0.194,65,hour
2011-01-02,1,0,1,0,0,0,Mist / Cloudy,0.36,0.3333,0.46,0.3284,53,hour
2011-01-02,1,0,1,0,0,0,Clear / Partly Cloudy,0.32,0.2879,0.42,0.4478,30,hour
2011-01-02,1,0,1,0,0,0,Clear / Partly Cloudy,0.3,0.2727,0.39,0.3582,22,hour
2011-01-02,1,0,1,0,0,0,Clear / Partly Cloudy,0.26,0.2273,0.44,0.3284,31,hour
2011-01-02,1,0,1,0,0,0,Clear / Partly Cloudy,0.24,0.2121,0.44,0.2985,9,hour
2011-01-02,1,0,1,0,0,0,Clear / Partly Cloudy,0.22,0.2273,0.47,0.1642,8,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.22,0.197,0.44,0.3582,5,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.1667,0.44,0.4179,2,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.16,0.1364,0.47,0.3881,1,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.16,0.1364,0.47,0.2836,3,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1061,0.5,0.3881,30,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1364,0.5,0.194,64,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1212,0.5,0.2836,154,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.16,0.1364,0.43,0.3881,88,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.18,0.1667,0.43,0.2537,44,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.1818,0.4,0.3284,51,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.22,0.2121,0.35,0.2985,61,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.24,0.2121,0.35,0.2836,61,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.26,0.2424,0.3,0.2836,77,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.26,0.2424,0.3,0.2537,72,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.26,0.2424,0.3,0.2537,76,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.24,0.2273,0.3,0.2239,157,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.24,0.2576,0.32,0.1045,157,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.2576,0.47,0.0,110,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.2273,0.47,0.1045,52,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.18,0.197,0.64,0.1343,52,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1515,0.69,0.1343,20,hour
2011-01-03,1,0,1,0,1,1,Clear / Partly Cloudy,0.18,0.2121,0.55,0.1045,12,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.16,0.1818,0.55,0.1045,5,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.16,0.1818,0.59,0.1045,2,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.14,0.1515,0.63,0.1343,1,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.14,0.1818,0.63,0.0896,2,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.12,0.1515,0.68,0.1045,4,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.12,0.1515,0.74,0.1045,36,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.12,0.1515,0.74,0.1343,94,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.14,0.1515,0.69,0.1642,179,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.16,0.1515,0.64,0.2239,100,hour
2011-01-04,1,0,1,0,2,1,Mist / Cloudy,0.16,0.1364,0.69,0.3284,42,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.22,0.2121,0.51,0.2985,57,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.22,0.2273,0.51,0.1642,78,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.24,0.2273,0.56,0.194,97,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.26,0.2576,0.52,0.2239,63,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.28,0.2727,0.52,0.2537,65,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.3,0.2879,0.49,0.2537,83,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.28,0.2727,0.48,0.2239,212,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.26,0.2576,0.48,0.194,182,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.24,0.2576,0.48,0.1045,112,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.24,0.2576,0.48,0.1045,54,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.22,0.2727,0.64,0.0,48,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.22,0.2576,0.64,0.0896,35,hour
2011-01-04,1,0,1,0,2,1,Clear / Partly Cloudy,0.2,0.2273,0.69,0.0896,11,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.2,0.2576,0.64,0.0,6,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.16,0.197,0.74,0.0896,6,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.16,0.197,0.74,0.0896,2,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.24,0.2273,0.48,0.2239,2,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.22,0.2273,0.47,0.1642,3,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.2,0.197,0.47,0.2239,33,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.18,0.1818,0.43,0.194,88,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.2,0.1818,0.4,0.2985,195,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.22,0.197,0.37,0.3284,115,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.22,0.197,0.37,0.3284,57,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.26,0.2273,0.33,0.3284,46,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.26,0.2273,0.33,0.3284,79,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.28,0.2576,0.3,0.2985,71,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.3,0.2879,0.28,0.194,62,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.3,0.2879,0.28,0.194,62,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.3,0.3182,0.28,0.0896,89,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.24,0.2273,0.38,0.194,190,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.24,0.2424,0.38,0.1343,169,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.24,0.2576,0.38,0.1045,132,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.22,0.2273,0.47,0.1642,89,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.2,0.197,0.51,0.194,43,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.18,0.197,0.55,0.1343,42,hour
2011-01-05,1,0,1,0,3,1,Clear / Partly Cloudy,0.2,0.2576,0.47,0.0,19,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.18,0.2424,0.55,0.0,11,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.16,0.2273,0.64,0.0,4,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.16,0.2273,0.64,0.0,2,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.16,0.197,0.64,0.0896,1,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.14,0.1818,0.69,0.0896,4,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.14,0.1667,0.63,0.1045,36,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.16,0.2273,0.59,0.0,95,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.16,0.2273,0.59,0.0,219,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.18,0.2424,0.51,0.0,122,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.2,0.2576,0.47,0.0,45,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.22,0.2576,0.44,0.0896,59,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.26,0.2879,0.35,0.0,84,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.26,0.2727,0.35,0.1045,67,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.28,0.2727,0.36,0.1642,70,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.28,0.2727,0.36,0.0,62,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.26,0.2576,0.38,0.1642,86,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.22,0.2273,0.51,0.1642,172,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.22,0.2273,0.51,0.1343,163,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.22,0.2576,0.55,0.0896,112,hour
2011-01-06,1,0,1,0,4,1,Clear / Partly Cloudy,0.2,0.2121,0.51,0.1642,69,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.22,0.2121,0.55,0.2239,48,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.22,0.2121,0.51,0.2836,52,hour
2011-01-06,1,0,1,0,4,1,Mist / Cloudy,0.2,0.197,0.59,0.194,23,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.197,0.64,0.194,17,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.197,0.69,0.2239,7,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.197,0.69,0.2239,1,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.2121,0.69,0.1343,1,hour
2011-01-07,1,0,1,0,5,1,Light Rain / Snow,0.22,0.2727,0.55,0.0,5,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.2576,0.69,0.0,34,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.2,0.2121,0.69,0.1343,84,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.2,0.197,0.51,0.2537,210,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.2,0.1818,0.47,0.2985,134,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.22,0.197,0.37,0.3284,63,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.197,0.4,0.2239,67,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.197,0.37,0.2537,59,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.1818,0.37,0.2836,73,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.197,0.4,0.2537,50,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.2121,0.37,0.1642,72,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.2121,0.37,0.1642,87,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.2,0.2576,0.37,0.0,187,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.2,0.2273,0.4,0.0896,123,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.16,0.197,0.55,0.0896,95,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.18,0.2121,0.47,0.1045,51,hour
2011-01-07,1,0,1,0,5,1,Clear / Partly Cloudy,0.18,0.197,0.47,0.1343,39,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.18,0.197,0.43,0.1642,36,hour
2011-01-07,1,0,1,0,5,1,Mist / Cloudy,0.18,0.197,0.51,0.1642,15,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.18,0.197,0.51,0.1642,25,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.18,0.2121,0.55,0.0896,16,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.18,0.2424,0.55,0.0,16,hour
2011-01-08,1,0,1,0,6,0,Light Rain / Snow,0.18,0.197,0.55,0.1642,7,hour
2011-01-08,1,0,1,0,6,0,Light Rain / Snow,0.18,0.197,0.55,0.1642,1,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.16,0.1667,0.74,0.1642,5,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.16,0.1667,0.74,0.1642,2,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.16,0.1818,0.74,0.1045,9,hour
2011-01-08,1,0,1,0,6,0,Light Rain / Snow,0.16,0.1818,0.93,0.1045,15,hour
2011-01-08,1,0,1,0,6,0,Light Rain / Snow,0.16,0.1818,0.93,0.1045,20,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.18,0.197,0.8,0.1642,61,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.2,0.1818,0.69,0.3881,62,hour
2011-01-08,1,0,1,0,6,0,Mist / Cloudy,0.2,0.1818,0.59,0.3582,98,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.2,0.1818,0.44,0.3284,102,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.2,0.1667,0.32,0.4925,95,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.2,0.1667,0.32,0.4478,74,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.18,0.1364,0.29,0.4478,76,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.16,0.1212,0.37,0.5522,69,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.14,0.1212,0.39,0.2985,55,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.14,0.1212,0.36,0.2537,30,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.12,0.1212,0.36,0.2537,28,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.12,0.1061,0.39,0.3582,37,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.12,0.1061,0.36,0.3881,34,hour
2011-01-08,1,0,1,0,6,0,Clear / Partly Cloudy,0.1,0.0606,0.39,0.4478,22,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.1,0.0758,0.42,0.3881,25,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.1,0.0606,0.42,0.4627,12,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.1,0.0606,0.46,0.4627,11,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.1,0.0758,0.46,0.4179,4,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.08,0.0909,0.53,0.194,1,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.08,0.0909,0.53,0.194,1,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.1,0.0909,0.49,0.2836,1,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.08,0.0909,0.53,0.194,6,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.1,0.0909,0.49,0.2836,10,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.12,0.0758,0.46,0.5224,19,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.14,0.1061,0.43,0.3881,49,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.16,0.1212,0.4,0.5224,49,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.18,0.1364,0.37,0.4478,83,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.2,0.1667,0.34,0.4478,75,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.22,0.1818,0.32,0.4627,72,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.22,0.197,0.35,0.3582,82,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.2,0.1667,0.34,0.4478,92,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.18,0.1515,0.37,0.3881,62,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.16,0.1364,0.4,0.3284,48,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.16,0.1364,0.43,0.3284,41,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.14,0.1212,0.46,0.2537,38,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.14,0.1061,0.46,0.4179,20,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.14,0.1212,0.46,0.2985,15,hour
2011-01-09,1,0,1,0,0,0,Clear / Partly Cloudy,0.12,0.1364,0.5,0.194,6,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.12,0.1212,0.5,0.2836,5,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.12,0.1212,0.5,0.2836,1,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.12,0.1212,0.5,0.2239,3,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.12,0.1212,0.5,0.2239,1,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.1,0.1212,0.54,0.1343,3,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.1,0.1061,0.54,0.2537,3,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.12,0.1212,0.5,0.2836,31,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.12,0.1212,0.5,0.2239,77,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.12,0.1212,0.5,0.2836,188,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.14,0.1212,0.5,0.2537,94,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.14,0.1212,0.5,0.2985,31,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.16,0.1364,0.47,0.2836,30,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.2,0.1818,0.4,0.2836,52,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.2,0.1818,0.4,0.2836,54,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.2,0.197,0.4,0.2239,47,hour
2011-01-10,1,0,1,0,1,1,Mist / Cloudy,0.2,0.197,0.4,0.2239,45,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.2121,0.4,0.1343,74,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.2273,0.4,0.1045,178,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.2,0.197,0.4,0.2239,155,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.16,0.1667,0.47,0.1642,95,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.16,0.1667,0.5,0.1642,74,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1364,0.59,0.194,38,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1515,0.59,0.1642,24,hour
2011-01-10,1,0,1,0,1,1,Clear / Partly Cloudy,0.14,0.1515,0.59,0.1642,18,hour
2011-01-11,1,0,1,0,2,1,Clear / Partly Cloudy,0.14,0.1667,0.59,0.1045,12,hour
2011-01-11,1,0,1,0,2,1,Clear / Partly Cloudy,0.14,0.1515,0.59,0.1642,3,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.1515,0.55,0.194,3,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.1818,0.55,0.1343,6,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.1818,0.55,0.1343,27,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.2273,0.55,0.0,99,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.18,0.2121,0.51,0.0896,217,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.18,0.197,0.51,0.1642,130,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.2,0.2121,0.51,0.1642,54,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.2,0.2121,0.47,0.1343,35,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.2,0.2273,0.51,0.1045,57,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.2,0.2273,0.59,0.0896,52,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.2,0.2273,0.59,0.0896,63,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.197,0.8,0.0896,47,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.1515,0.86,0.2239,76,hour
2011-01-11,1,0,1,0,2,1,Mist / Cloudy,0.16,0.1515,0.86,0.2239,136,hour
2011-01-11,1,0,1,0,2,1,Light Rain / Snow,0.16,0.1818,0.93,0.1045,95,hour
2011-01-11,1,0,1,0,2,1,Light Rain / Snow,0.16,0.2273,0.93,0.0,51,hour
2011-01-11,1,0,1,0,2,1,Light Rain / Snow,0.16,0.1515,0.93,0.194,32,hour
2011-01-11,1,0,1,0,2,1,Light Rain / Snow,0.16,0.197,0.86,0.0896,20,hour
2011-01-11,1,0,1,0,2,1,Light Rain / Snow,0.16,0.1818,0.93,0.1045,29,hour
2011-01-11,1,0,1,0,2,1,Light Rain / Snow,0.16,0.197,0.93,0.0896,19,hour
2011-01-12,1,0,1,0,3,1,Mist / Cloudy,0.16,0.197,0.86,0.0896,7,hour
2011-01-12,1,0,1,0,3,1,Mist / Cloudy,0.16,0.1818,0.86,0.1045,6,hour
2011-01-12,1,0,1,0,3,1,Clear / Partly Cloudy,0.14,0.1515,0.86,0.1343,1,hour
2011-01-12,1,0,1,0,3,1,Clear / Partly Cloudy,0.14,0.1515,0.86,0.1642,5,hour
